Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Peugeot 407 SW 2.0 HDi SE 5dr,"FREE WARRANTY+16 S/STAMPS,",1790,2006.0,67000,Diesel,Estate, reading,Manual,5,2.0L,3 owners
Alfa Romeo Spider 2.0 T.Spark 16v 2dr,Classic Phase 1 model,650,1996.0,119845,Petrol,Convertible, aylesbury,Manual,2,2.0L,5 owners
Audi A4 Cabriolet 2.5 TDI Sport Cabriolet 2dr Diesel Manual …,PX TO CLEAR,989,2005.0,121600,Diesel,Convertible, bedford,Manual,4,2.5L,
Subaru Forester 2.0 Turbo S 5dr,P/X to clear - great car!,999,2002.0,212000,Petrol,SUV, leatherhead,Automatic,5,2.0L,
Ford Fiesta 1.4 ZETEC CLIMATE 16V 5d 80 BHP - WHOLESALE …,ONLY TWO OWNERS!!!,1290,2006.0,85842,Petrol,Hatchback, tonbridge,Manual,5,1.4L,
Citroen Xsara Picasso 1.6 HDi Desire 5dr,,749,2006.0,80000,Diesel,MPV, basingstoke,Manual,5,1.6L,2 owners
Vauxhall Astra 1.4 i 16v Exclusiv Sport Hatch 3dr,"EXCELLENT RUNNER, FSH",1500,2010.0,131384,Petrol,Hatchback, bow,Manual,5,1.4L,
Volvo V50 D SPORT 2.0 5dr,"AUTOMATIC,R Design,Sunroof.",3950,2009.0,103000,Diesel,Estate, maidenhead,Automatic,5,2.0L,4 owners
Vauxhall Corsa 1.2i Life 3dr,*AUX CONNECTIVITY-ISOFIX REAR*,5390,2015.0,32941,Petrol,Hatchback, poole,Manual,5,1.2L,
Volkswagen Polo SE 1.0 5dr,"Bluetooth, Climate Control",7200,2015.0,34663,Petrol,Hatchback,west malling,Manual,5,1.0L,
Alfa Romeo GT 2.0 JTS 2dr, Nice black with red leathers,800,2005.0,90903,Petrol,Coupe, ilford,Manual,5,2.0L,
Ford Fiesta 1.4 Zetec Climate 5dr,YEARS MOT - NO ADVISORIES,795,2006.0,97688,Petrol,Hatchback, waltham abbey,Manual,5,1.4L,
Peugeot 807 2.2 SE 5dr,Part exchange clearance,860,2004.0,85000,Petrol,MPV, leatherhead,Manual,7,2.2L,
Vauxhall Vectra 1.8 i VVT Exclusiv 5dr,,500,,95081,,, camberwell,,5,,
Renault Clio 1.6 VVT Initiale 5dr,"automatic,only 2 owners",900,2006.0,86500,Petrol,Hatchback, chatham,Automatic,5,,
Hyundai Coupe 2.0 F2 Limited Edition 3dr,(Mot 23/8/20) FSH (RARE CAR) ,995,1998.0,168869,Petrol,Coupe, chingford,Manual,4,1.6L,3 owners
Volkswagen Golf 1.8 GTI Hatchback Manual 2dr,Rare GTI,1600,1989.0,65238,,Hatchback, thornton heath,,0,2.0L,
Vauxhall Corsa 1.0 i 12v Life 3dr,Great value Vauxhall Corsa,1995,2009.0,108000,Petrol,Hatchback, woolwich,Manual,5,1.8L,
MINI Hatch 1.6 Cooper 3dr,,790,2004.0,127300,Petrol,Hatchback, ilford,Automatic,4,1.0L,
Citroen C1 1.0 VTR 5d 68 BHP MOT - 19/09/2020,CALL 07977223024 FOR QUESTIONS,995,2009.0,102000,Petrol,Hatchback, wickford,Manual,4,1.6L,
Ford Kuga TITANIUM TDCI 2.0 5dr,"Two Owners,Just Serviced.",4650,2008.0,34663,Diesel,SUV, maidenhead,Manual,5,1.0L,2 owners
