Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Nissan Note 1.6 16v SE 5dr,,980,,82000,,, herne hill,,5,,
Fiat 500 1.2 Pop (s/s) 3dr,Smoke free. MOT to April 2021.,2100,2010.0,89605,Petrol,Hatchback, letchworth garden city,Manual,4,,
Mazda 6 D Ts 2.2 5dr,FREE DELIVERY*,2500,2010.0,76500,Diesel,Estate, watford,Manual,5,1.2L,
Jaguar S-Type 3.0 V6 SE 4dr,jag 3 owers,900,2000.0,108000,Petrol,Saloon, high wycombe,Automatic,5,2.2L,3 owners
MINI Hatch 1.6 Cooper 3dr,,790,2004.0,85000,Petrol,Hatchback, ilford,Automatic,4,3.0L,
Nissan Navara 2.5 Di Crewcab Pickup 4dr,"FULL CANOPY / 85,000 MILES!",2949,2005.0,130000,Diesel,Pickup, high wycombe,Manual,5,1.6L,
Ford Fiesta 1.25 Style + 3dr,2 OWNERS+OCT 2020 MOT+,1495,2009.0,133911,Petrol,Hatchback, bristol,Manual,5,2.5L,
Porsche Cayenne 4.5 S 5d 340 BHP CHEAPEST PROJECT CAR CHEAPEST …,PROJECT CAR,1989,2003.0,93000,Petrol,SUV, chelmsford,Automatic,5,1.25L,
Renault Clio 2.0 16v Renaultsport 3dr,Full Service History,1750,2002.0,107000,Petrol,Hatchback, tunbridge wells,Manual,5,4.5L,3 owners
BMW 5 Series 525d SE TOURING 2.5 5dr,"Lovely Condition,Full History.",3495,2006.0,61937,Diesel,Estate, maidenhead,Automatic,5,2.0L,4 owners
